"","X","Species","subclass","GrowthForm_CTD","Abund_CTD","IUCNstatus","MeanPCcover","coralcover","Range","ReefArea_Range","family_molecules","family_morphology","larval","IUCN.conservation.status","Depth.lower","Depth.upper","Oocyte.size.at.maturity","Range.size","Colony.maximum.diameter","Corallite.width.maximum","Corallite.width.minimum","Growth.rate","Skeletal.density","Skeletal.micro.density","Tissue.thickness","Colony.area","Colony.fecundity","Colony.shape.factor","Polyp.fecundity","Polyps.per.area","Size.at.maturity","Age.at.maturity","Eggs.per.area","Generation.time","fecundity","IndoPacific_fecundity","Genus"
"18",18,"Acropora donei","Hexacorallia","branching_open","uncommon","VU",0.231,4616075485899420,36434302,183994,"Acroporidae","Acroporidae","spawner","Vulnerable",36.6666666666667,5,472.48,31618634.395,266.666666666667,1.4,0.8,66.5439578923472,1.49100833333333,2.82515,1.994,396.318014088288,301737.18869904,6.40976501104341,9.5744562,79.519,46.3601606986,6.19,338,35.08,761.3511825678,3514454530011755520,"Acropora"
"19",19,"Acropora echinata","Hexacorallia","hispidose","uncommon","VU",0.137,2737672474321300,43859552,186715,"Acroporidae","Acroporidae","spawner","Vulnerable",41.6666666666667,8,315.419,33402937.59,150,1,0.5,46.3135609074334,1.4014,2.80701,1.046,380.733420991138,282646.14451387,7.93870745063773,8.56926797142857,86.632,43.1090298367,6.09,342.2,35.44,742.3728229008,2032373642939720960,"Acropora"
"20",20,"Acropora elseyi","Hexacorallia","hispidose","common","LC",0.602,12029772478404600,59213949,201652,"Acroporidae","Acroporidae","spawner","Least Concern",24.5,2.5,314.7335,50730321.805,50,0.9,0.6,0.37,1.58999771166587,2.80652,1.284,304.083531079773,277849.642156548,6.69841283417515,13.9566515142857,65.469,37.5398487981,6.02,349.2,35.77,913.72801798877,10991940163548493824,"Acropora"
"21",21,"Acropora fastigata","Hexacorallia","branching_closed","rare","DD",0.093,1858420000816650,6485575,103898,"Acroporidae","Acroporidae",NA,"Data Deficient",20,2,338.015,8012282.214,54.23,17.293,12.202,4.67296571428572,1.681625,2.81806,1.8775,303.016621534389,356824.150070072,5.978971689819,25.7736624,45.689,34.3600235771,5.89,356.9,36.1,1177.5728613936,2188424958032759040,"Acropora"
"22",22,"Acropora florida","Hexacorallia","branching_open","common","NT",0.354,7073985809560160,54016640,206863,"Acroporidae","Acroporidae","spawner","Near Threatened",31.5,3,360.2635,50346268.88,1500,1.4,0.7,38.2995448657458,1.52076666666667,2.82554,1.8055,330.68276286733,420480.045861403,4.13264030866439,10.1735486,124.986,40.1470028942,6.1,345.7,35.53,1271.5511453196,8994934758120818688,"Acropora"
"23",23,"Acropora gemmifera","Hexacorallia","digitate","common","LC",0.329,6574410540523420,64927893,235446,"Acroporidae","Acroporidae","spawner","Least Concern",16,1,404.71,59611099.49,356.473333333333,1.6,1,24,1.47,2.8337,1.9,483.947064753186,393181.824864596,6.81773413483573,6.448,126,59.42921586,6.25,328.2,34.9,812.448,5341366694827171840,"Acropora"
"24",24,"Acropora glauca","Hexacorallia","tables_or_plates","rare","NT",0.123,2457910323660730,51870887,167754,"Acroporidae","Acroporidae","spawner","Near Threatened",20,5,308.105,36147467.51,130.96,1.3,0.9,32.4537666788974,1.46,2.824,1.421,376.437903607431,291574.995025743,6.84055833226782,9.71946151428571,79.692,44.0463454196,6.06,345.7,35.56,774.563326996457,1903807197753592576,"Acropora"
"25",25,"Acropora globiceps","Hexacorallia","digitate","common","VU",0.264,5275514841027909,33172090,131898,"Acroporidae","Acroporidae",NA,"Vulnerable",14,0,448.366666666667,32105343.37,263.526666666667,2.1,1.2,39.3180918132305,1.50955153846154,2.82231,1.9345,373.866649646792,211808.370394262,6.32458171845781,8.23654885714286,68.783,46.4987444696,6.22,338,35.14,566.534540040857,2988761373940463616,"Acropora"
"26",26,"Acropora gomezi","Hexacorallia","branching_open","uncommon","DD",0.323,6454512475954610,5187612,69591,"Acroporidae","Acroporidae",NA,"Data Deficient",NA,NA,357.1,6072023.988,311.923333333333,13.3616666666667,8.43,0.08375,1.674175,2.82197,1.769,314.10565175511,335857.590515862,5.92688634260836,24.8992941714286,42.943,34.9360078941,5.93,356.9,36.07,1069.25038960366,6901489979616139264,"Acropora"
"27",27,"Acropora grandis","Hexacorallia","branching_open","common","LC",0.71,14187937640643300,54541622,223434,"Acroporidae","Acroporidae","spawner","Least Concern",23.5,5,283.1505,51130568.88,450,1.7,0.8,52.9513963528428,1.49365,2.8156,1.6365,390.123499942762,322977.096148827,4.49723773913889,9.75140151428571,84.899,45.3157297612,6.1,342.2,35.35,827.884237161343,11745969930516676608,"Acropora"
"28",28,"Acropora granulosa","Hexacorallia","tables_or_plates","common","NT",0.085,1698555914724900,59858906,201522,"Acroporidae","Acroporidae","spawner","Near Threatened",47,20,342.389,52677407.315,75,0.9,0.4,7.16,1.3887,2.81943,1.7265,359.136345896438,367604.378488509,8.19913418669095,13.4305024,76.213,38.3995179041,6.06,345.7,35.56,1023.5788794112,1738605959811378688,"Acropora"
"29",29,"Acropora hoeksemai","Hexacorallia","branching_open","common","VU",0.46,9192184950275910,5304729,70086,"Acroporidae","Acroporidae",NA,"Vulnerable",21,8,525.785,7973226.1195,333.333333333333,1.1,0.6,69.3588225078433,1.46545769230769,2.82933,2.5075,337.95701397226,212249.668463092,7.25724110995296,7.35174442857143,85.427,42.7601552434,6.22,338,35.14,628.037471299572,5773036591889260544,"Acropora"
"30",30,"Acropora horrida","Hexacorallia","branching_closed","uncommon","VU",0.35,6994053766514281,65331074,237043,"Acroporidae","Acroporidae","spawner","Vulnerable",26.75,6.5,552.686666666667,63786566.725,200,1.5,0.6,62.2440393367568,0.86,2.873,3.905,553.629569548417,461073.484067465,12.3649219008424,8.4783462,98.229,42.9495776338,6.28,326.1,34.72,832.8194688798,5824784143145188352,"Acropora"
"31",31,"Acropora humilis","Hexacorallia","digitate","common","NT",0.112,2238097205284570,77373648,236957,"Acroporidae","Acroporidae","spawner","Near Threatened",12.8,1.5,507,68708933.785,399.586666666667,1.8,1,20.2166666666667,1.44538461538462,2.85192,4.3485,525.685165601017,412355.683402133,10.7556730269589,7.78321417142857,100.783,41.868253231,6.28,326.1,34.72,784.415673839086,1755598527400670208,"Acropora"
"32",32,"Acropora hyacinthus","Hexacorallia","tables_or_plates","common","NT",0.989,19763197643093200,94163310,225544,"Acroporidae","Acroporidae","spawner","Near Threatened",20,2.5,484,77111234.445,300,1.1,0.4,80.6333333333333,1.28,2.85196,4.4165,1356.84664290985,847367.010656916,20.5445981144597,5.576,112,43.231949561,6.28,326.1,34.72,624.512,12342354086483419136,"Acropora"
"33",33,"Acropora insignis","Hexacorallia","branching_closed","uncommon","DD",0.318,6354597422147261,29747713,137056,"Acroporidae","Acroporidae",NA,"Data Deficient",30,0.5,346.84,27863810.025,69.56,37.6445833333333,22.182,4.33046642857143,1.668425,2.81797,1.8455,310.524466296388,254207.460939684,5.978971689819,26.1872324,31.261,34.1328524981,5.85,359,36.25,818.6390720564,5202121736958624768,"Acropora"
"34",34,"Acropora intermedia","Hexacorallia","branching_open","common","LC",1.014,20262772912129900,61823609,234438,"Acroporidae","Acroporidae","spawner","Least Concern",18.75,2,420,59433259.805,500,1.5,0.8,33.1500308047395,1.6468362699952,2.83344,2.228,300.786542657439,222381.257372868,6.51881256376112,7.78679125714285,94.947,39.6631657998,6.23,337.3,35.14,739.332469491942,14980925935879432192,"Acropora"
"35",35,"Acropora kimbeensis","Hexacorallia","branching_closed","uncommon","VU",0.206,4116500216862690,9454066,129998,"Acroporidae","Acroporidae",NA,"Vulnerable",31.6666666666667,3,314.135,8672469.485,96.3133333333333,0.6,0.4,21.2049183494624,1.3671,2.80617,1.144,379.963343719143,289686.658817427,9.67599127907462,8.87654974285714,85.89,43.8278243761,6.07,344.3,35.29,762.406857414,3138447993882332672,"Acropora"
"36",36,"Acropora latistella","Hexacorallia","corymbose","common","LC",0.193,3856721076963590,78328750,236156,"Acroporidae","Acroporidae","spawner","Least Concern",32.6666666666667,3,350.7685,69646643.575,199.616666666667,0.9,0.6,22.0317588616176,1.57111666666667,2.81521,1.403,321.507552850619,269862.683200303,7.40374343499203,8.4752824,99.037,37.8046210228,6.19,342.2,35.41,839.3665430488,3237202637874373120,"Acropora"
"37",37,"Acropora listeri","Hexacorallia","branching_closed","uncommon","VU",0.036,719388387412897,52117510,220974,"Acroporidae","Acroporidae","spawner","Vulnerable",16.25,3,302.4775,45683293.43,50,1,0.6,34.9049675652174,1.42155,2.80876,1.085,333.321698412737,236747.03733798,6.80258352859644,8.77911974285714,80.904,41.2010500354,6.06,345.7,35.56,710.265903676114,510957043079923776,"Acropora"
"38",38,"Acropora longicyathus","Hexacorallia","hispidose","common","LC",0.475,9491930111697950,59392442,212034,"Acroporidae","Acroporidae","spawner","Least Concern",16.5,6.66666666666667,316.1445,52342999.275,194.2,1.3,0.5,58.2992350568562,1.27,2.781,1.3975,417.648943409813,311004.232745853,9.7991493753316,7.69485974285714,96.773,43.8586086433,6.19,333.8,35.14,744.654661895514,7068210008062284800,"Acropora"
"39",39,"Acropora loripes","Hexacorallia","corymbose","common","NT",0.077,1538691828633140,59355528,203101,"Acroporidae","Acroporidae","spawner","Near Threatened",26,2.5,324.0745,50707825.255,45,1.2,0.5,39.6598672117812,1.39206666666667,2.81798,1.6035,331.441344960226,236038.822460349,7.93870745063773,8.33401974285715,85.452,41.1182487631,6.06,345.7,35.56,712.158655066629,1095792703241389056,"Acropora"
"40",40,"Acropora lutkeni","Hexacorallia","branching_open","uncommon","NT",0.12,2397961291376320,41709218,188468,"Acroporidae","Acroporidae","spawner","Near Threatened",19,3,447.335,39648995.845,600,1.2,0.6,34.1458738455675,1.53233333333333,2.82626,1.9655,327.026540140137,230177.185450838,5.87480099539771,9.0238162,77.999,43.7760574127,6.22,338,35.14,703.8486397838,1687801793189427200,"Acropora"
"41",41,"Acropora microclados","Hexacorallia","corymbose","uncommon","VU",0.125,2497876345183670,35292635,199104,"Acroporidae","Acroporidae","spawner","Vulnerable",31.6666666666667,5,403.895,36875455.755,100,1.2,0.6,44.8167696956522,1.441425,2.81422,1.364,374.363871188222,251072.973226619,6.99193751560332,8.70056442857143,77.083,45.4777110359,6.18,338,35.17,670.665607847572,1675239757370676480,"Acropora"
"42",42,"Acropora microphthalma","Hexacorallia","branching_open","common","LC",0.49,9791675273119990,75839181,233032,"Acroporidae","Acroporidae","spawner","Least Concern",21.5,6,356.609,68520582.525,200,1,0.6,29.8983937418851,1.54692333333333,2.82187,1.4785,306.245343129866,238472.457309836,8.11395089410535,7.48373328571429,104.052,37.5742014262,6.21,340.1,35.29,778.697415845143,7624752231973324800,"Acropora"
"43",43,"Acropora millepora","Hexacorallia","corymbose","common","NT",0.21,4196432259908570,47574287,202413,"Acroporidae","Acroporidae","spawner","Near Threatened",21,2,477.727,43075011.285,276.9,1.6,0.4,71.1862413495378,1.382165,2.8244,2.1575,464.589042701296,207714.508868451,10.0074907641742,5.139,87,45.3106195,6.23,333.1,34.93,447.093,1876195488379302400,"Acropora"
"44",44,"Acropora monticulosa","Hexacorallia","digitate","uncommon","NT",0.291,5815056131587590,52428663,207507,"Acroporidae","Acroporidae","spawner","Near Threatened",13,1,452,48278557.13,300,1.2,0.6,33.9371205184377,1.51221153846154,2.83072,2.5395,311.043043875513,182911.4532737,7.30444959886718,8.26388885714286,71.16,41.2381935425,6.22,337.3,35.14,588.058331074286,3419592203844690944,"Acropora"
"45",45,"Acropora muricata","Hexacorallia",NA,NA,NA,1.495,29874601088396700,75243817,235930,NA,"Acroporidae",NA,NA,20,4.33333333333333,389,68873888.78,625,1.2,0.8,74.47375,1.7125,2.854,2.679,416.463163735112,505084.889148201,10.0216013077134,8.37525859999999,144.807,37.2618025019,6.26,328.2,34.84,1212.7960720902,36231798855269081088,"Acropora"
"46",46,"Acropora nana","Hexacorallia","branching_closed","uncommon","NT",0.358,7153917852606029,51031596,190737,"Acroporidae","Acroporidae","spawner","Near Threatened",12.5,1,568,45866084.525,15,1,0.5,43.6105084382061,1.53420293666187,2.82671,2.3135,99.9339431303176,22290.2660152173,9.93154115683141,4.461,50,39.30972449,6.19,336.6,35.02,223.05,1595681377023774976,"Acropora"
"47",47,"Acropora nasuta","Hexacorallia","corymbose","common","NT",0.225,4496177421330610,68015810,241157,"Acroporidae","Acroporidae","spawner","Near Threatened",22.3333333333333,1.5,646,65507245.46,80,1.1,0.5,41.9,1.4,2.8264,2.4345,319.330338196349,187265.505534964,8.9614269930149,7.77256062857143,75.449,37.9309452539,6.22,334.5,34.9,586.431926865086,2636701988718202368,"Acropora"
"48",48,"Acropora palmerae","Hexacorallia","encrusting","uncommon","VU",0.477,9531896133220890,38646918,194910,"Acroporidae","Acroporidae","spawner","Vulnerable",13.3333333333333,1,305.8035,36203677.055,180,1.3,0.9,36.5475079436653,1.42676666666667,2.81259,1.424,368.337775800104,290019.286076003,6.5801315962146,9.73592151428571,80.873,42.3296329312,6.06,345.7,35.56,787.373180624828,7505159375799633920,"Acropora"
"49",49,"Acropora paniculata","Hexacorallia","tables_or_plates","uncommon","VU",0.208,4156466238385630,51278155,176835,"Acroporidae","Acroporidae",NA,"Vulnerable",39.6666666666667,10,321.72,42672046.7,103,0.8,0.4,22.9038074146798,1.3905,2.80639,1.174,355.506370065391,277984.450315104,8.19913418669095,9.23525062857143,84.669,41.6715054324,6.06,345.7,35.56,781.939435470514,3250104863995511808,"Acropora"
"50",50,"Acropora papillare","Hexacorallia","branching_open","uncommon","VU",0.122,2437927312899260,8196998,85887,"Acroporidae","Acroporidae",NA,"Vulnerable",14,1,483.08,12420231.695,285.556666666667,1.6,0.8,50.7615536465638,1.45773717948718,2.82363,1.944,423.730784144941,262707.02565117,6.37666706566845,7.9841562,77.652,47.4007497024,6.19,338,35.08,619.9856972424,1511480064914138368,"Acropora"
"51",51,"Acropora plumosa","Hexacorallia","tables_or_plates","uncommon","VU",0.102,2038267097669880,6676481,87501,"Acroporidae","Acroporidae",NA,"Vulnerable",24.5,10,475.622,7404993.9145,257.403333333333,1.2,0.6,46.1136887959866,1.44435,2.82699,2.2195,359.691628844503,219562.226698268,7.75423032192727,7.31004442857143,83.504,42.1354024389,6.22,338,35.14,610.417949963429,1244194823237555968,"Acropora"
"52",52,"Acropora polystoma","Hexacorallia","corymbose","uncommon","VU",0.065,1298895699495510,45586022,208524,"Acroporidae","Acroporidae","spawner","Vulnerable",10.8333333333333,4,296.4785,42675910.29,80,1.5,0.8,37.2600869425505,1.49013333333333,2.80984,1.479,362.15070637912,332842.303519576,5.978971689819,11.6534324,78.867,41.4340600591,6.06,345.7,35.56,919.0712530908,1193777698169589504,"Acropora"
"53",53,"Acropora pulchra","Hexacorallia","branching_open","uncommon","LC",0.294,5875005163871991,65059343,215209,"Acroporidae","Acroporidae","spawner","Least Concern",11.3333333333333,1.5,575,58241790.66,500,1.2,0.6,101.02,1.9,2.841,3.3025,410.317831309545,444378.974431961,9.55771004111407,8.51886328571428,127.131,41.990488806,6.26,328.2,34.84,1083.01160837614,6362698791743145984,"Acropora"
"54",54,"Acropora retusa","Hexacorallia","digitate","uncommon","VU",0.433,8652643659716240,35198525,140741,"Acroporidae","Acroporidae","spawner","Vulnerable",16.75,1,325.1755,31241854.77,77.6233333333333,0.9,0.7,35.4574715451146,1.4127,2.80644,1.075,333.963217225884,250894.108280808,6.80258352859644,9.24357974285714,81.274,40.7916461968,6.06,345.7,35.56,751.262700020971,6500408438117760000,"Acropora"
"55",55,"Acropora robusta","Hexacorallia","branching_open","common","LC",0.343,6854172691183990,72559082,235149,"Acroporidae","Acroporidae","spawner","Least Concern",8.83333333333333,0.5,482.87,66222208.745,273.943333333333,1.5,0.5,22.4,1.5176190324335,2.83164,2.1665,338.770798069113,153752.126544212,10.9732481010443,5.1472424,88.174,39.5584887838,6.26,333.8,34.87,453.8529513776,3110786505145601024,"Acropora"
"56",56,"Acropora samoensis","Hexacorallia","digitate","common","LC",0.082,1638606882440490,64870968,235425,"Acroporidae","Acroporidae","spawner","Least Concern",15,5,314.72,59954090.37,100,1.8,0.8,44.8113419436653,1.48788333333333,2.80749,1.42,387.582536121996,300942.917972562,5.978971689819,10.1359115142857,76.605,44.6309680066,6.09,343.6,35.32,776.461501551856,1272315160392948736,"Acropora"
"57",57,"Acropora sarmentosa","Hexacorallia","corymbose","common","LC",0.066,1318878710256980,40638778,189782,"Acroporidae","Acroporidae","spawner","Least Concern",20.6666666666667,3,318.259,41155623.595,30,2,1,11.9888896827957,1.33683333333333,2.7984,1.145,369.315392976703,255207.782871047,7.76834086546654,9.39894682857143,73.522,41.8653514069,6.06,345.7,35.56,691.029368730229,911383922580619136,"Acropora"
"58",58,"Acropora secale","Hexacorallia","branching_closed","common","NT",0.208,4156466238385630,63620467,222626,"Acroporidae","Acroporidae","spawner","Near Threatened",25,2,424.5225,59607476.66,100,1.2,0.3,50.1133446304348,1.4447,2.81848,1.5785,408.192910437008,273684.503109951,8.28431747927654,7.85388531428572,85.369,45.0329850817,6.16,332.4,34.99,670.478335395258,2786820564639385600,"Acropora"
"59",59,"Acropora selago","Hexacorallia","corymbose","uncommon","NT",0.123,2457910323660730,57912057,220450,"Acroporidae","Acroporidae","spawner","Near Threatened",35,5,338.872,49536611.545,75,0.9,0.5,18.170358516129,1.4841,2.81266,1.303,325.237499652429,222683.951722851,8.19913418669095,8.93909505714286,76.594,39.1378562481,6.06,345.7,35.56,684.6810468068,1682884613361269504,"Acropora"
"60",60,"Acropora solitaryensis","Hexacorallia","tables_or_plates","rare","VU",0.26,5195582797982040,35340947,183612,"Acroporidae","Acroporidae","spawner","Vulnerable",35,5,359.507,36378566.24,204,1.1,0.5,16.7,1.45,2.832,1.805,344.04142230723,161871.39979511,10.3151259891416,5.61951771428572,83.726,39.3066426358,6.16,343.6,35.26,470.499740146286,2444520356359064064,"Acropora"
"61",61,"Acropora speciosa","Hexacorallia","corymbose","uncommon","VU",0.097,1938352043862530,32064832,132262,"Acroporidae","Acroporidae",NA,"Vulnerable",51.6666666666667,12,306.4955,29677581.905,50,0.8,0.3,24.6879395813464,1.3602,2.80346,1.102,379.963343719143,279524.380628426,9.67599127907462,8.46297974285714,86.927,43.9414099156,6.07,344.3,35.29,735.661440107343,1425970856022919680,"Acropora"
"62",62,"Acropora spicifera","Hexacorallia","tables_or_plates","uncommon","VU",0.227,4536143442853550,31530738,155229,"Acroporidae","Acroporidae","spawner","Vulnerable",11,2,446,31914481.535,334.296666666667,1.1,0.5,111,1.45491591679407,2.83304,2.5135,367.256082403199,221171.694200777,10.0313550243063,6.38927442857143,94.256,46.1252561626,6.23,332.4,34.93,602.227450539429,2731790100870840320,"Acropora"
"63",63,"Acropora striata","Hexacorallia","branching_closed","rare","VU",0.184,3676873980110360,25344371,119908,"Acroporidae","Acroporidae","spawner","Vulnerable",29.55,10,384.2835,21254273.08,184.625,1.1,0.8,38.3779599437407,1.45345,2.81835,1.579,366.545875502431,290798.4132675,6.85466887580708,9.80979974285714,80.873,43.0468032118,6.1,341.5,35.17,793.347934604085,2917040377920057344,"Acropora"
"64",64,"Acropora subglabra","Hexacorallia","hispidose","uncommon","LC",0.306,6114801293009630,36383381,189616,"Acroporidae","Acroporidae",NA,"Least Concern",32.5,5,306.5935,34766280.265,136.54,0.8,0.3,38.6725467608696,1.4155,2.80328,0.982000000000001,390.109930906559,301875.497314716,7.93870745063773,8.88969885714286,87.047,43.8262001173,6.06,342.2,35.38,773.821616417715,4731765420629842944,"Acropora"
"65",65,"Acropora subulata","Hexacorallia","tables_or_plates","common","LC",0.283,5655192045495830,53940059,220366,"Acroporidae","Acroporidae","spawner","Least Concern",27.5,5,524.67,47566277.96,250,1.2,0.8,41.027860116539,1.4758282051282,2.82773,2.185,306.386558531413,174991.669929154,7.61696168213104,7.17394797142857,79.614,41.2346865369,6.22,338,35.14,571.146693797314,3229944239573813248,"Acropora"
"66",66,"Acropora suharsonoi","Hexacorallia","corymbose","uncommon","EN",0.04,799320430458775,567434,9046,"Acroporidae","Acroporidae",NA,"Endangered",25,15,308.018,416089.761915,55.96,0.8,0.6,31.8328404798972,1.4072,2.80672,1,358.53478932229,266826.130674045,7.06301026464965,8.90909885714286,83.534,42.0658386403,6.06,345.7,35.56,744.212663932572,594864386887454720,"Acropora"
