Species,subclass,GrowthForm_CTD,Abund_CTD,IUCNstatus,MeanPCcover,coralcover,Range,ReefArea_Range,family_molecules,family_morphology,larval,IUCN conservation status,Depth lower,Depth upper,Eastern-most range edge,Genus fossil age,Northern-most range edge,Oocyte size at maturity,Range size,Southern-most range edge,Species age phylogeny,Veron species id,Water depth,Western-most range edge,Colony maximum diameter,Corallite width maximum,Corallite width minimum,Growth rate,Water temperature,Nitrogen concentration,Phosphorus concentration,Sample identifier,Calcification rate,Irradiance,Skeletal density,Skeletal micro-density,Symbiodinium density,Tissue thickness,Year,Propagule size on release,Colony area,Colony fecundity,Colony shape factor,Distance from crest,Length of nonreproductive zone,Polyp fecundity,Polyps per area,Ratio of female to male gonads,Size at maturity,Egg size,Flow rate,Mitotic index,RNA:DNA ratio,Season,Chlorophyll a,Lipid content,Total biomass,Protein biomass,Age at maturity,Eggs per area,Generation time,Mesentery fecundity,Number of septa per corallite,Dark respiration,Gross photosynthesis,Larval swimming speed,Dissolved oxygen concentration,Distance from shore,Downward flux of suspended particulate matter,Light extinction coefficient,Nitrite-nitrate concentration,Particulate organic matter concentration,Phosphate concentration,Salinity,Suspended particulate matter concentration,Individual identifier,Propagule age,Rainfall,Sunlight,Colony surface area
Acropora echinata,Hexacorallia,hispidose,uncommon,VU,0.137,273767.2474321304,43859552,186715,Acroporidae,Acroporidae,spawner,Vulnerable,41.666666666666664,8,-175.73519888,52.44,29.43212122,NA,33402937.59,-28.40731439,5.72711205222336,26,NA,38.6612798,150,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora elseyi,Hexacorallia,hispidose,common,LC,0.602,1202977.247840456,59213949,201652,Acroporidae,Acroporidae,spawner,Least Concern,24.5,2.5,-131.21290704,52.44,31.29678534,NA,50730321.80499999,-28.98806243,2.0510166523841,557,2,70.3240645,50,0.9,0.6,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora fastigata,Hexacorallia,branching_closed,rare,DD,0.093,185842.00008166512,6485575,103898,Acroporidae,Acroporidae,NA,Data Deficient,20,2,154.31026699,52.44,19.70711072,NA,8012282.214,-24.89894354,1.33060517618054,739,NA,94.5040605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora florida,Hexacorallia,branching_open,common,NT,0.354,707398.5809560156,54016640,206863,Acroporidae,Acroporidae,spawner,Near Threatened,31.5,3,-176.23055944,52.44,39.11127704,NA,50346268.879999995,-34.58104986,3.79735420056447,559,6.322580645161291,26.1744041,1500,1.4,0.7,NA,27,NA,NA,NA,NA,NA,NA,NA,1890000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora gemmifera,Hexacorallia,digitate,common,LC,0.329,657441.0540523422,64927893,235446,Acroporidae,Acroporidae,spawner,Least Concern,16,1,-106.58224067,52.44,34.91387621,NA,59611099.489999995,-34.32757752,0.693789873065717,30,1.9946619217081851,22.6129136,NA,1.6,1,24,29,NA,NA,NA,1.42,NA,1.47,NA,NA,1.9,NA,NA,483.947064753186,30705.105806451615,6.817734134835729,36.55133470225873,13.698599999999999,6.448,126,1.22,59.42921586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora glauca,Hexacorallia,tables_or_plates,rare,NT,0.123,245791.0323660732,51870887,167754,Acroporidae,Acroporidae,spawner,Near Threatened,20,5,-119.39537938,52.44,38.02649155,NA,36147467.510000005,-35.02700971,0.316054933373932,31,3.6,25.6587419,NA,1.3,0.9,NA,NA,NA,NA,NA,NA,NA,1.46,2.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora globiceps,Hexacorallia,digitate,common,VU,0.264,527551.4841027913,33172090,131898,Acroporidae,Acroporidae,NA,Vulnerable,14,0,-137.24139182,52.44,29.22987627,NA,32105343.37,-24.68200187,2.03575047328919,782,NA,93.749034,NA,2.1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora gomezi,Hexacorallia,branching_open,uncommon,DD,0.323,645451.2475954606,5187612,69591,Acroporidae,Acroporidae,NA,Data Deficient,NA,NA,133.56987234,52.44,19.42299572,NA,6072023.988,-11.82965376,2.19787346085669,922,4.5,94.2199455,NA,NA,NA,0.08374999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora grandis,Hexacorallia,branching_open,common,LC,0.71,1418793.764064325,54541622,223434,Acroporidae,Acroporidae,spawner,Least Concern,23.5,5,-169.528304021,52.44,31.19092189,NA,51130568.879999995,-32.85405513,2.17104827900871,32,4.666666666666667,30.9277,450,1.7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora granulosa,Hexacorallia,tables_or_plates,common,NT,0.085,169855.59147248964,59858906,201522,Acroporidae,Acroporidae,spawner,Near Threatened,47,20,-133.08140659,52.44,29.65543951,NA,52677407.315,-31.75708865,0.865804445204572,33,4.909090909090908,36.8747335,75,0.9,0.4,7.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora hoeksemai,Hexacorallia,branching_open,common,VU,0.46,919218.495027591,5304729,70086,Acroporidae,Acroporidae,NA,Vulnerable,21,8,133.36479106,52.44,20.1010279,NA,7973226.1195,-11.59157779,0.900913203624174,644,NA,93.749034,333.3333333333333,1.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora horrida,Hexacorallia,branching_closed,uncommon,VU,0.35,699405.3766514278,65331074,237043,Acroporidae,Acroporidae,spawner,Vulnerable,26.75,6.5,-138.2249455,52.44,31.33912402,NA,63786566.725,-34.35389682,2.03916998081564,34,3.1,24.9157011,200,1.5,0.6,NA,NA,NA,NA,NA,NA,NA,0.86,2.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora humilis,Hexacorallia,digitate,common,NT,0.112,223809.7205284569,77373648,236957,Acroporidae,Acroporidae,spawner,Near Threatened,12.8,1.5,-138.6193312,52.44,31.12454292,507,68708933.785,-35.36103205,2.03575047328919,35,3.430263157894737,23.8186105,NA,1.8,1,20.21666666666667,26.333333333333332,1.0178222557777779,0.185577051,47.111111111111114,NA,NA,1.4453846153846153,NA,1950000,NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora hyacinthus,Hexacorallia,tables_or_plates,common,NT,0.989,1976319.7643093204,94163310,225544,Acroporidae,Acroporidae,spawner,Near Threatened,20,2.5,-104.30077687000001,52.44,38.84118034,484,77111234.44500001,-35.55462518,0.588742378677986,36,2.104022988505747,25.4743655,300,1.1,0.4,80.63333333333333,27.666666666666668,0.8227059932,0.16707561442857144,95.57142857142857,NA,389,1.28,NA,49073333.33333333,NA,NA,NA,1356.8466429098548,92932.03150455642,20.544598114459678,25.363306451612903,NA,5.576,112,1.6206129032258065,NA,0.09764333333333333,20,1.19,1.088102245,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora insignis,Hexacorallia,branching_closed,uncommon,DD,0.318,635459.7422147258,29747713,137056,Acroporidae,Acroporidae,NA,Data Deficient,30,0.5,-173.41230048,52.44,38.18648223,NA,27863810.025,-25.02648672,1.98762848113039,513,NA,93.4045491,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora intermedia,Hexacorallia,branching_open,common,LC,1.014,2026277.291212994,61823609,234438,Acroporidae,Acroporidae,spawner,Least Concern,18.75,2,-136.55242213,52.44,31.29678534,420,59433259.80500001,-35.53327447,3.26136952521733,52,4.463636363636363,31.0527923,500,1.5,0.8,NA,NA,1.4191038603333332,0.15166665933333334,191.16666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora kimbeensis,Hexacorallia,branching_closed,uncommon,VU,0.206,411650.02168626897,9454066,129998,Acroporidae,Acroporidae,NA,Vulnerable,31.666666666666668,3,164.02394221,52.44,26.47399752,NA,8672469.485,-24.8542443,0.915888105997414,444,NA,93.749034,NA,0.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora latistella,Hexacorallia,corymbose,common,LC,0.193,385672.1076963588,78328750,236156,Acroporidae,Acroporidae,spawner,Least Concern,32.666666666666664,3,-104.06221064,52.44,38.67862606,NA,69646643.575,-34.85670132,3.88592660668535,39,1.1538461538461537,25.683555,NA,0.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora listeri,Hexacorallia,branching_closed,uncommon,VU,0.036,71938.83874128971,52117510,220974,Acroporidae,Acroporidae,spawner,Vulnerable,16.25,3,-104.04943968,52.44,38.58984316,NA,45683293.43,-30.77921875,1.0061734987798,40,1,31.2551207,50,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora longicyathus,Hexacorallia,hispidose,common,LC,0.475,949193.011169795,59392442,212034,Acroporidae,Acroporidae,spawner,Least Concern,16.5,6.666666666666667,-135.75265419,52.44,27.25442959,NA,52342999.275000006,-32.99729464,1.05102193684241,41,4.5,37.7328171,NA,1.3,0.5,NA,NA,NA,NA,NA,NA,NA,1.27,2.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora loripes,Hexacorallia,corymbose,common,NT,0.077,153869.1828633141,59355528,203101,Acroporidae,Acroporidae,spawner,Near Threatened,26,2.5,-133.08140659,52.44,38.58817087,NA,50707825.255,-31.31045208,0.758407985582515,42,5.811111111111111,36.6514153,45,1.2,0.5,NA,NA,NA,0.150961578,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora lutkeni,Hexacorallia,branching_open,uncommon,NT,0.12,239796.1291376324,41709218,188468,Acroporidae,Acroporidae,spawner,Near Threatened,19,3,-103.78881493,52.44,23.17311877,NA,39648995.845,-32.90458371,0.385907844269643,44,2,80.4330777,600,1.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora microclados,Hexacorallia,corymbose,uncommon,VU,0.125,249787.6345183671,35292635,199104,Acroporidae,Acroporidae,spawner,Vulnerable,31.666666666666668,5,-172.73658021,52.44,30.59042579,NA,36875455.754999995,-34.80041609,1.24690789613032,45,3,30.7861478,100,1.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
